'Probe'	'Symbol'	'acg'	'dlpfc'	'cb'	'amy'	'hc'	'nacc'	'new-mean-6'
'11102_at'	'RPP14'	0	1	1	12	12	0	0.0239115976
'8490_at'	'RGS5'	14	11	15	15	10	14	0.0239441216
'84790_at'	'TUBA1C'	-5	4	2	4	0	3	0.0246164856
'79137_at'	'FAM134A'	5	6	7	2	-2	2	0.024621554
'7088_at'	'TLE1'	15	11	12	13	16	17	0.0246861546
'3158_at'	'HMGCS2'	-5	7	-6	-4	12	7	0.0247439712
'4071_at'	'TM4SF1'	1	6	-1	0	1	1	0.0248252151
'6687_at'	'SPG7'	6	8	5	7	5	7	0.025236281
'54910_at'	'SEMA4C'	6	1	-1	1	4	10	0.02524317
'3250_at'	'HPR'	14	13	12	14	14	14	0.0253613815
'3156_at'	'HMGCR'	4	3	2	4	8	7	0.0255041514
'1663_at'	'DDX11'	-5	-4	14	17	-6	-4	0.0255226766
'51599_at'	'LSR'	17	14	15	-2	6	-5	0.0256426331
'55220_at'	'KLHDC8A'	-6	7	14	-1	1	6	0.0256820583
'56623_at'	'INPP5E'	15	10	9	11	7	13	0.0257859202
'55317_at'	'C20orf29'	6	17	10	6	5	-1	0.0259351742
'27346_at'	'TMEM97'	5	4	3	1	6	5	0.0260850054
'79364_at'	'ZXDC'	8	4	8	9	-3	2	0.0261081956
'4335_at'	'MNT'	7	6	8	8	3	2	0.0261354507
'55129_at'	'ANO10'	17	2	15	10	10	11	0.0263533284
'4919_at'	'ROR1'	-4	5	12	16	13	17	0.0263865298
'8335_at'	'HIST1H2AB'	-4	-1	-1	-4	-5	-3	0.0264749789
'1198_at'	'CLK3'	13	8	2	12	2	10	0.0265246497
'200424_at'	'TET3'	17	2	-6	14	-4	13	0.0266110941
'55966_at'	'AJAP1'	13	-3	8	10	-3	-1	0.0266698667
'8322_at'	'FZD4'	1	5	8	4	3	8	0.0272914118
'58517_at'	'RBM25'	8	11	9	14	10	12	0.0273360391
'10205_at'	'MPZL2'	0	1	4	1	2	2	0.0277048961
'9053_at'	'MAP7'	10	-6	-4	-4	-6	12	0.0278476609
'8208_at'	'CHAF1B'	4	12	1	9	4	-5	0.0282539543
'53944_at'	'CSNK1G1'	-6	-3	3	14	-3	-5	0.0283283341
'80124_at'	'VCPIP1'	10	-4	0	14	9	-1	0.0286408083
