'Probe'	'Symbol'	'acg'	'dlpfc'	'cb'	'amy'	'hc'	'nacc'	'new-mean-6'
'23251_at'	'KIAA1024'	17	-1	10	-3	7	-4	0.093642248
'580_at'	'BARD1'	7	0	-3	1	4	-2	0.0936461378
'79782_at'	'LRRC31'	17	-2	0	-5	-1	9	0.0936883021
'29079_at'	'MED4'	2	16	-1	-1	5	-5	0.093692294
'29091_at'	'STXBP6'	16	14	-3	-5	3	-1	0.0937306426
'2319_at'	'FLOT2'	-5	-2	-2	5	0	-1	0.0937379949
'383_at'	'ARG1'	14	6	0	17	-4	17	0.0937708351
'9674_at'	'KIAA0040'	-6	2	6	3	2	1	0.0937738822
'80210_at'	'ARMC9'	4	6	-4	5	3	3	0.093777949
'7978_at'	'MTERF'	15	-4	3	3	10	13	0.093911136
'29964_at'	'PRICKLE4'	-6	1	12	17	7	17	0.0939115877
'10499_at'	'NCOA2'	7	-6	-1	11	13	-3	0.0939408275
'57150_at'	'C6orf162'	10	17	-6	-5	12	14	0.0939821751
'51454_at'	'GULP1'	0	17	11	1	7	-1	0.0939831528
'5159_at'	'PDGFRB'	-2	6	15	0	3	-2	0.0939932502
'9238_at'	'TBRG4'	-1	1	-6	8	3	-5	0.0941263685
'6462_at'	'SHBG'	17	-4	2	10	10	4	0.0941678276
'766_at'	'CA7'	-4	1	-4	6	3	-5	0.0941809499
'6565_at'	'SLC15A2'	-3	-2	4	16	15	5	0.0942372851
'51651_at'	'PTRH2'	-2	15	6	3	5	3	0.0942762885
'25818_at'	'KLK5'	-6	-3	7	9	17	9	0.0943159167
'6515_at'	'SLC2A3'	-2	-4	-6	4	0	-1	0.0943260164
'54596_at'	'L1TD1'	8	-1	13	12	15	-6	0.0943382962
'56605_at'	'ERO1LB'	2	-1	10	4	8	6	0.0943962217
'23077_at'	'MYCBP2'	7	9	11	9	11	7	0.094418894
'10376_at'	'TUBA1B'	8	7	6	7	-2	-3	0.0944663652
'8454_at'	'CUL1'	3	13	5	5	-2	1	0.0944669449
'837_at'	'CASP4'	3	13	1	3	-1	-1	0.0945474935
'2647_at'	'BLOC1S1'	14	10	15	16	9	17	0.0945996242
'6992_at'	'PPP1R11'	-5	7	13	16	-2	-5	0.0946105333
'610_at'	'HCN2'	10	14	-5	-3	-3	16	0.0946112643
'7057_at'	'THBS1'	-5	-2	8	1	-2	-1	0.0946429672
'2842_at'	'GPR19'	-4	1	7	-5	-6	-3	0.0947162729
'54941_at'	'RNF125'	12	-6	1	-6	13	11	0.0947459613
'81614_at'	'NIPA2'	2	-6	10	1	2	10	0.0947598755
'1800_at'	'DPEP1'	10	-6	1	-6	11	-6	0.0948634945
'30849_at'	'PIK3R4'	8	-5	10	5	10	12	0.0948644744
'5366_at'	'PMAIP1'	2	5	4	3	5	3	0.0949595925
'3003_at'	'GZMK'	17	8	4	16	16	-3	0.0949865408
'29062_at'	'WDR91'	3	6	-1	-6	1	8	0.0950295064
'28442_at'	'IGHV3-23'	6	10	-2	1	-4	10	0.095070801
'27288_at'	'RBMXL2'	2	4	-1	-4	7	9	0.0951284086
'1791_at'	'DNTT'	4	8	1	9	-5	11	0.0951909344
'27173_at'	'SLC39A1'	-1	-3	-3	1	-2	6	0.0952409947
'9350_at'	'CER1'	13	-6	-3	13	17	-6	0.0952463748
'642_at'	'BLMH'	5	1	9	-1	12	8	0.0952569598
'5701_at'	'PSMC2'	7	12	5	-2	9	-6	0.0953125359
'55852_at'	'TEX2'	4	0	10	5	2	2	0.0953462504
'139748_at'	'KRT18P44'	2	9	10	10	-5	6	0.0954088698
'729659_at'	'S100A11P1'	1	1	-4	-1	-4	3	0.0954315164
'10794_at'	'ZNF460'	10	3	-3	-5	-5	7	0.0955485572
'7404_at'	'UTY'	6	-1	7	1	9	7	0.0955655166
'7341_at'	'SUMO1'	1	17	7	16	8	17	0.0955727198
'3914_at'	'LAMB3'	2	5	8	8	0	-1	0.0955853341
'26953_at'	'RANBP6'	4	12	4	3	12	17	0.0956140498
'4124_at'	'MAN2A1'	11	-6	-5	-3	15	15	0.0956308554
'64428_at'	'NARFL'	-6	6	15	16	-5	13	0.0957939033
'56949_at'	'XAB2'	11	10	0	2	3	11	0.0958877207
'598_at'	'BCL2L1'	-1	-4	-3	5	2	-4	0.0958938785
'10022_at'	'INSL5'	11	15	13	-5	8	9	0.0959606512
'5670_at'	'PSG2'	-3	-1	4	8	14	-6	0.0960157472
'6195_at'	'RPS6KA1'	-6	1	-3	5	-3	-3	0.0960819133
'5473_at'	'PPBP'	6	8	9	7	10	6	0.0961878359
'64787_at'	'EPS8L2'	3	12	16	-1	10	14	0.0962132006
'10847_at'	'SRCAP'	16	2	16	8	-3	14	0.0962441573
'767_at'	'CA8'	17	2	17	-3	1	0	0.0962545096
'55954_at'	'ZMAT5'	-5	0	2	11	10	-4	0.0962879001
'10961_at'	'ERP29'	10	3	3	0	3	2	0.0963245212
'1122_at'	'CHML'	0	2	0	-1	11	2	0.0963265367
'29982_at'	'NRBF2'	5	-1	5	5	2	-1	0.096367921
'23041_at'	'MON2'	5	16	1	14	12	9	0.0963727715
'51157_at'	'ZNF580'	-5	2	16	8	-1	12	0.0963757666
'6751_at'	'SSTR1'	1	-1	6	-3	-3	15	0.0963891131
'2114_at'	'ETS2'	-1	14	-6	8	-4	-5	0.0964148508
'55086_at'	'CXorf57'	1	-6	2	-2	11	-5	0.0964180268
'1740_at'	'DLG2'	16	16	-5	12	17	11	0.0964485101
'9388_at'	'LIPG'	5	1	10	5	-3	9	0.0964778053
'79135_at'	'APOO'	16	3	11	-6	8	5	0.0965017474
'29940_at'	'DSE'	5	14	3	4	4	9	0.0965135623
'80108_at'	'ZFP2'	9	7	5	-2	10	5	0.0965166225
'130916_at'	'MTERFD2'	13	-4	-3	17	-4	13	0.0965406687
'8653_at'	'DDX3Y'	6	5	3	5	5	5	0.0965498143
'58529_at'	'MYOZ1'	-4	1	7	14	-6	10	0.0965994018
'8529_at'	'CYP4F2'	-6	7	7	8	11	14	0.0966622348
'1062_at'	'CENPE'	-4	0	2	-3	-4	3	0.0967892096
'56922_at'	'MCCC1'	0	11	5	13	12	14	0.0968229825
'2515_at'	'ADAM2'	4	4	15	10	17	4	0.0968586654
'3082_at'	'HGF'	2	0	8	2	3	10	0.0968628068
'6223_at'	'RPS19'	15	-2	2	-3	16	-5	0.0968885661
'10630_at'	'PDPN'	3	5	0	2	4	2	0.0968927487
'54738_at'	'FEV'	-5	2	9	-2	-3	-3	0.0969081431
'27257_at'	'LSM1'	-2	4	9	-3	8	-1	0.0971316014
'57187_at'	'THOC2'	7	13	7	-1	12	5	0.0971421452
'64118_at'	'DUS1L'	2	7	10	5	3	9	0.0972298278
'25830_at'	'SULT4A1'	-4	6	7	5	-4	9	0.097229976
'50937_at'	'CDON'	14	-6	13	4	-2	12	0.097233725
'22996_at'	'TTC39A'	9	6	11	-3	1	9	0.0972388248
'27042_at'	'C1orf107'	-1	0	7	17	11	8	0.0972766825
'16_at'	'AARS'	4	1	5	4	-1	4	0.0972866057
'79679_at'	'VTCN1'	-3	6	-2	13	0	5	0.0972972417
'3437_at'	'IFIT3'	-5	17	8	11	14	14	0.0973170695
'23529_at'	'CLCF1'	-1	-4	17	4	9	13	0.0973627116
'65220_at'	'NADK'	16	-5	-2	13	-4	10	0.0973845126
'10436_at'	'EMG1'	0	2	6	-3	4	3	0.0973874207
'6690_at'	'SPINK1'	-4	-3	14	-4	-2	14	0.0974062318
'23186_at'	'RCOR1'	2	-5	2	0	8	6	0.0974116275
'24142_at'	'NAT6'	-1	4	11	5	1	4	0.0974130883
'64757_at'	'MOSC1'	16	-4	7	12	-4	16	0.0974188911
'27159_at'	'CHIA'	10	12	12	8	10	12	0.097519547
'7942_at'	'TFEB'	13	2	3	6	-1	10	0.0975727749
'9587_at'	'MAD2L1BP'	0	1	4	-5	10	5	0.0976492078
'8819_at'	'SAP30'	7	-4	0	-5	9	-6	0.0977569895
'650_at'	'BMP2'	-3	1	15	3	10	2	0.0978333972
'9172_at'	'MYOM2'	9	11	-3	9	11	10	0.0978635006
'8766_at'	'RAB11A'	-5	15	-4	-4	17	-4	0.0978738466
'9086_at'	'EIF1AY'	7	-1	6	4	7	7	0.0978775584
'80975_at'	'TMPRSS5'	0	5	5	6	11	10	0.0979582996
'55653_at'	'BCAS4'	17	6	-4	-2	16	4	0.0979906642
'9265_at'	'CYTH3'	10	16	2	4	16	12	0.0980007027
'6361_at'	'CCL17'	2	5	-3	6	-1	12	0.098016155
'8435_at'	'SOAT2'	-2	8	10	6	4	-3	0.0980500618
'389856_at'	'USP27X'	-6	9	7	11	-4	4	0.0981598117
'90861_at'	'HN1L'	9	-2	-1	3	7	10	0.0981915032
'26747_at'	'NUFIP1'	5	9	2	5	-3	1	0.0982455048
'10869_at'	'USP19'	10	12	-2	8	8	12	0.0982797844
'10238_at'	'DCAF7'	12	14	-1	10	14	11	0.098350216
'5261_at'	'PHKG2'	1	1	7	9	6	16	0.0983775084
'91442_at'	'C19orf40'	5	6	-1	15	8	1	0.0984434547
'170680_at'	'PSORS1C2'	-5	3	14	13	11	-6	0.0984511262
'3476_at'	'IGBP1'	-3	15	12	-5	12	16	0.0984583998
'23636_at'	'NUP62'	3	-6	-2	3	0	0	0.0985623001
'5771_at'	'PTPN2'	3	15	-2	-1	7	6	0.0985661195
'55735_at'	'DNAJC11'	-4	12	12	0	15	10	0.0985806647
'126393_at'	'HSPB6'	-6	5	10	10	7	3	0.0986447779
'6648_at'	'SOD2'	5	0	-1	1	3	3	0.098733026
'55500_at'	'ETNK1'	-2	-3	11	2	1	3	0.0987557879
'9252_at'	'RPS6KA5'	5	6	-1	2	6	6	0.0987659819
'8491_at'	'MAP4K3'	4	16	1	7	1	-2	0.0988269036
'66036_at'	'MTMR9'	12	12	9	7	14	13	0.0988475193
'2288_at'	'FKBP4'	-2	-1	15	-3	-3	-4	0.098883102
'55664_at'	'CDC37L1'	15	14	16	-5	6	11	0.0989061369
'80310_at'	'PDGFD'	-4	-6	-4	16	4	11	0.0989097883
'3613_at'	'IMPA2'	1	-2	2	7	6	0	0.0989270166
'5618_at'	'PRLR'	16	7	8	2	6	12	0.098941414
'516_at'	'ATP5G1'	14	-6	11	17	16	15	0.0989479442
'1962_at'	'EHHADH'	14	11	0	-1	5	8	0.0989676796
'4495_at'	'MT1G'	8	8	7	6	2	5	0.0990314846
'54662_at'	'TBC1D13'	16	11	-3	11	8	17	0.0990437291
'1824_at'	'DSC2'	-3	-2	6	5	2	0	0.0990931846
'22797_at'	'TFEC'	6	-1	6	-5	-3	10	0.0991047361
'6702_at'	'SPRR2C'	4	3	0	12	12	8	0.0991140999
'54903_at'	'MKS1'	-6	1	17	14	10	8	0.0991385448
'56659_at'	'KCNK13'	8	12	7	15	11	-6	0.099149773
'26234_at'	'FBXL5'	4	13	3	-1	10	3	0.0991657151
'9495_at'	'AKAP5'	-2	2	11	14	-6	7	0.0992147548
'3954_at'	'LETM1'	5	-2	-4	-5	10	-5	0.0992733684
'6672_at'	'SP100'	14	10	-4	1	3	12	0.099293456
'399979_at'	'SNX19'	17	-5	14	17	14	15	0.0993368007
'10120_at'	'ACTR1B'	12	2	-6	6	1	3	0.0993498062
'10748_at'	'KLRA1'	6	-5	-2	2	-3	9	0.0993840353
'50628_at'	'GEMIN4'	17	-1	-2	12	8	16	0.0993876242
'474344_at'	'GIMAP6'	17	14	-6	3	14	17	0.0994005585
'5361_at'	'PLXNA1'	16	14	15	7	16	16	0.0995034612
'79977_at'	'GRHL2'	1	7	10	6	-5	9	0.0995161099
'60561_at'	'RINT1'	1	14	-1	7	4	-2	0.0995180129
'5420_at'	'PODXL'	0	11	14	4	2	-4	0.0995252938
'55785_at'	'FGD6'	-2	-6	10	-5	-5	15	0.0995314551
'9370_at'	'ADIPOQ'	-5	12	15	15	7	-4	0.0995562433
'4104_at'	'MAGEA5'	-2	4	0	-1	-5	4	0.0995763728
'5087_at'	'PBX1'	7	-4	-4	12	9	5	0.0995974683
'388567_at'	'ZNF749'	-1	8	8	10	0	1	0.0996354105
'3978_at'	'LIG1'	1	4	7	-2	8	7	0.0996522013
'3699_at'	'ITIH3'	9	11	-5	8	-4	10	0.0996654531
'80306_at'	'MED28'	-3	17	4	-1	8	-1	0.0996886216
'55138_at'	'FAM90A1'	4	14	8	12	-3	16	0.0997373993
'9766_at'	'KIAA0247'	4	3	1	6	2	3	0.0997791292
'23116_at'	'FAM179B'	8	14	14	10	13	14	0.0997812988
'51657_at'	'STYXL1'	-6	-5	14	15	16	-6	0.099807874
'55247_at'	'NEIL3'	16	1	-5	11	11	9	0.0998129081
'203197_at'	'C9orf91'	9	9	0	6	2	8	0.0998538315
'57415_at'	'C3orf14'	16	13	-5	16	16	-4	0.0998562854
'2597_at'	'GAPDH'	-6	1	-3	-6	0	0	0.0998740213
'161_at'	'AP2A2'	8	9	4	7	-6	11	0.0999101566
'5199_at'	'CFP'	-6	8	-6	7	9	-6	0.0999136729
'9218_at'	'VAPA'	7	-4	8	-4	15	9	0.0999478381
'26063_at'	'DECR2'	-1	12	-6	11	12	9	0.0999713152
'2615_at'	'LRRC32'	-5	-1	14	-1	-1	-4	0.1000093227
'3280_at'	'HES1'	6	6	11	11	3	3	0.100029421
'57172_at'	'CAMK1G'	16	10	8	11	-5	8	0.1000298427
'47_at'	'ACLY'	5	5	-5	0	4	11	0.1001783805
'10352_at'	'WARS2'	12	9	-2	16	3	0	0.1001936909
'3955_at'	'LFNG'	11	0	-2	10	5	10	0.1002110326
'55718_at'	'POLR3E'	4	-3	8	8	3	0	0.1002319501
'84617_at'	'TUBB6'	0	2	3	3	0	3	0.1002384233
'26354_at'	'GNL3'	2	2	5	1	5	11	0.1003136213
'51703_at'	'ACSL5'	-1	4	-1	3	3	3	0.1003239892
'51621_at'	'KLF13'	10	11	17	11	11	14	0.1004365763
'5546_at'	'PRCC'	7	11	12	9	7	13	0.1004572206
'1776_at'	'DNASE1L3'	-4	5	7	3	-1	7	0.1004658724
'3726_at'	'JUNB'	3	5	-1	1	0	-1	0.100515696
'8270_at'	'LAGE3'	-6	1	10	17	-3	-2	0.1006191281
'25966_at'	'C2CD2'	3	10	10	3	7	5	0.1006528488
'79703_at'	'C11orf80'	13	6	8	10	0	13	0.1006576371
'223117_at'	'SEMA3D'	6	-1	-3	16	15	1	0.1006617931
'26012_at'	'NELF'	16	10	11	10	-1	17	0.1006682322
'23160_at'	'WDR43'	8	13	9	6	11	7	0.1009151531
'55759_at'	'WDR12'	9	14	6	-1	11	6	0.100939651
'2935_at'	'GSPT1'	0	16	5	-2	6	0	0.1009900133
'7280_at'	'TUBB2A'	-6	10	3	2	-3	-5	0.1009972545
'4818_at'	'NKG7'	6	6	-3	6	1	13	0.1010839319
'29911_at'	'HOOK2'	2	5	2	10	0	9	0.1012416555
'6769_at'	'STAC'	-6	-4	15	0	10	-2	0.101284392
'64771_at'	'C6orf106'	17	5	15	13	4	6	0.10129521
'54974_at'	'THG1L'	1	6	-5	13	2	-4	0.1013718271
'64172_at'	'OSGEPL1'	17	-1	-1	-4	7	5	0.1013747926
'3141_at'	'HLCS'	3	3	-6	-6	14	11	0.1014203604
'3169_at'	'FOXA1'	8	-4	9	4	-3	1	0.1014269002
'79689_at'	'STEAP4'	10	1	2	-2	-1	-2	0.1014836178
'83743_at'	'GRWD1'	0	-3	15	-2	7	14	0.1015419386
'55288_at'	'RHOT1'	3	11	3	8	10	15	0.1015456048
'91304_at'	'C19orf6'	14	-1	-3	-2	2	-2	0.1015535216
'11214_at'	'AKAP13'	17	10	-5	9	8	-6	0.1016076842
'56899_at'	'ANKS1B'	4	11	-5	-4	10	13	0.1016351546
'50848_at'	'F11R'	-2	7	-1	12	9	1	0.1016447808
'4761_at'	'NEUROD2'	13	7	1	10	-4	-6	0.101655795
'60485_at'	'SAV1'	5	9	10	-2	5	9	0.10168058
'467_at'	'ATF3'	-3	0	-4	-3	-2	-2	0.1017368537
'1124_at'	'CHN2'	8	-1	1	15	-2	15	0.1017645161
'22843_at'	'PPM1E'	13	-2	14	14	-5	15	0.1017967265
'57408_at'	'LRTM1'	17	-5	7	12	17	15	0.1018564309
'51056_at'	'LAP3'	3	17	6	2	3	-1	0.1018938893
'7380_at'	'UPK3A'	11	11	-3	17	2	4	0.1019700179
'11253_at'	'MAN1B1'	6	10	-2	8	2	17	0.1020335977
'6786_at'	'STIM1'	-4	6	16	8	0	10	0.1020706871
'2660_at'	'MSTN'	12	-2	6	12	13	5	0.1021403572
'55350_at'	'VNN3'	-5	5	-1	7	-2	9	0.1021992231
'5144_at'	'PDE4D'	-2	-4	9	-2	-3	12	0.1022659961
'81792_at'	'ADAMTS12'	-6	0	9	17	-3	0	0.1024139909
'27112_at'	'FAM155B'	17	8	12	17	-3	8	0.1024142222
'23536_at'	'ADAT1'	2	10	-1	3	14	11	0.1024556174
'634_at'	'CEACAM1'	-6	-1	6	14	0	-5	0.1024762409
'23452_at'	'ANGPTL2'	9	-2	5	0	3	9	0.1024890028
'4882_at'	'NPR2'	17	2	-2	14	16	-2	0.1025562522
'3709_at'	'ITPR2'	9	14	10	14	12	16	0.1025868615
'2304_at'	'FOXE1'	-6	4	11	15	1	6	0.1025991841
'5705_at'	'PSMC5'	15	8	9	16	10	10	0.1026048106
'64219_at'	'PJA1'	-6	1	9	-3	-6	0	0.1027370576
'3973_at'	'LHCGR'	-4	6	7	16	-2	14	0.1027477404
'6347_at'	'CCL2'	3	8	5	2	1	0	0.1028216787
'55182_at'	'RNF220'	10	5	8	14	0	-4	0.1028854681
'965_at'	'CD58'	-4	-2	8	5	5	1	0.102906299
'4703_at'	'NEB'	7	1	11	16	-2	11	0.1029117927
'140460_at'	'ASB7'	-5	8	-2	17	-4	-5	0.1029374738
'51510_at'	'CHMP5'	-4	12	-2	16	5	-5	0.1030039563
'23576_at'	'DDAH1'	9	12	14	11	15	12	0.1030104552
'79802_at'	'HHIPL2'	17	-4	7	14	12	-6	0.103028035
'8452_at'	'CUL3'	6	11	5	8	8	-5	0.1030337553
'10983_at'	'CCNI'	-5	1	0	5	0	11	0.1030457358
'887_at'	'CCKBR'	17	10	11	13	7	-3	0.1030586746
'6781_at'	'STC1'	-3	1	-2	-1	0	4	0.1031770166
'3066_at'	'HDAC2'	8	16	12	-1	10	-4	0.1032602094
'9076_at'	'CLDN1'	7	10	14	-6	5	4	0.1032722545
'5256_at'	'PHKA2'	14	1	2	16	10	15	0.1033796949
'57191_at'	'VN1R1'	6	12	0	-5	9	10	0.1034326455
'9126_at'	'SMC3'	10	-4	-2	14	13	-3	0.1035187614
'55028_at'	'C17orf80'	9	16	-3	17	15	-2	0.1035311295
'79755_at'	'ZNF750'	10	0	4	-4	5	5	0.103538923
'7625_at'	'ZNF74'	3	-5	1	-5	-1	6	0.1036392585
'50836_at'	'TAS2R8'	-4	-1	9	2	5	12	0.1037009251
'51134_at'	'CCDC41'	9	12	10	9	7	11	0.1037236497
'4439_at'	'MSH5'	4	7	0	16	8	-5	0.1037835728
'57157_at'	'PHTF2'	4	1	0	4	9	7	0.1038311322
'2208_at'	'FCER2'	6	11	-3	11	-3	6	0.1038391483
'55282_at'	'LRRC36'	14	3	1	-1	4	2	0.1038860218
'9627_at'	'SNCAIP'	15	8	10	16	10	14	0.1038968164
'10568_at'	'SLC34A2'	-6	17	1	6	4	8	0.1039343196
'9437_at'	'NCR1'	-6	14	-6	15	7	10	0.1039369433
'55118_at'	'CRTAC1'	11	3	3	1	16	13	0.1039507998
'6578_at'	'SLCO2A1'	-5	-6	6	13	4	1	0.1039658068
'727897_at'	'MUC5B'	11	11	-3	-5	-2	-6	0.1039781845
'2563_at'	'GABRD'	12	9	-5	-2	2	2	0.1040090934
'922_at'	'CD5L'	-6	7	4	-2	6	3	0.1041406358
'55156_at'	'ARMC1'	7	16	1	13	9	10	0.1041837437
'2165_at'	'F13B'	17	17	11	2	-4	10	0.1041880443
'50617_at'	'ATP6V0A4'	13	-1	6	11	2	5	0.1041965377
'8439_at'	'NSMAF'	-2	7	-3	0	13	5	0.1043533139
'93349_at'	'SP140L'	-6	-2	11	6	6	8	0.1044066299
'51304_at'	'ZDHHC3'	0	-2	9	4	14	17	0.1044189369
'23049_at'	'SMG1'	17	-3	7	-5	13	-1	0.1044767879
'5605_at'	'MAP2K2'	16	6	-5	8	1	17	0.1045412229
'81833_at'	'SPACA1'	1	10	2	-3	10	1	0.1045542077
'22822_at'	'PHLDA1'	-4	10	6	-1	4	15	0.1045650646
'4750_at'	'NEK1'	9	13	6	10	13	9	0.104573186
'2355_at'	'FOSL2'	1	2	-3	1	-3	1	0.1046774312
'23548_at'	'TTC33'	4	-1	0	-5	3	2	0.1048416395
'441151_at'	'TMEM151B'	16	13	2	13	-1	-6	0.1048595615
'9724_at'	'UTP14C'	11	16	7	-2	14	13	0.1049044277
'2069_at'	'EREG'	-2	-3	15	-2	14	6	0.1049413496
'4212_at'	'MEIS2'	5	17	6	-2	12	13	0.1049489413
'1020_at'	'CDK5'	14	4	14	12	-5	-2	0.1050386593
'55879_at'	'GABRQ'	15	13	9	-3	-1	11	0.1050576673
'1833_at'	'EPYC'	16	0	-2	6	2	14	0.1051046857
'54540_at'	'FAM193B'	-6	11	13	10	5	15	0.1051156076
'8718_at'	'TNFRSF25'	12	9	12	10	15	14	0.1051167841
'11259_at'	'FILIP1L'	-6	14	7	-3	10	-3	0.1051180898
'8859_at'	'STK19'	0	11	2	9	2	3	0.1051187468
'7979_at'	'SHFM1'	4	13	3	-6	-4	-2	0.1051938723
'1351_at'	'COX8A'	-6	0	10	17	9	7	0.1052648109
'9353_at'	'SLIT2'	7	7	11	3	17	-4	0.1053109541
'9390_at'	'SLC22A13'	0	5	15	-3	-4	12	0.1053217247
'6999_at'	'TDO2'	10	-6	10	10	12	17	0.1053537985
'55654_at'	'TMEM127'	8	8	9	5	6	1	0.1053836282
'51162_at'	'EGFL7'	-6	5	-5	5	4	7	0.1055629829
'64780_at'	'MICAL1'	10	9	-5	4	9	16	0.1055935264
'5899_at'	'RALB'	17	7	14	16	15	-4	0.1056368917
'7514_at'	'XPO1'	3	17	9	-4	16	-6	0.1056492049
'79145_at'	'CHCHD7'	6	14	8	-4	13	9	0.1057476557
'2058_at'	'EPRS'	10	14	13	10	13	9	0.1057823167
'79932_at'	'KIAA0319L'	2	4	-6	11	11	-2	0.1059241197
'54585_at'	'LZTFL1'	5	11	4	8	7	17	0.1059253454
'7629_at'	'ZNF76'	-2	0	15	-5	13	-2	0.1059395503
'2241_at'	'FER'	14	-6	-6	14	15	6	0.1059400506
'26036_at'	'ZNF451'	5	4	0	0	4	6	0.105959062
'89797_at'	'NAV2'	1	0	-2	4	0	-5	0.1060293719
'8724_at'	'SNX3'	-6	-5	9	12	-5	-5	0.1060915692
'23659_at'	'PLA2G15'	9	11	-6	2	-5	9	0.1060916636
'64221_at'	'ROBO3'	-5	-6	-5	16	-5	11	0.1060917635
'2297_at'	'FOXD1'	14	5	14	-1	6	4	0.1060989995
'2921_at'	'CXCL3'	6	7	-2	1	13	10	0.106119774
'59_at'	'ACTA2'	10	10	13	-1	12	16	0.1061308029
'54970_at'	'TTC12'	7	8	11	-2	6	10	0.1062086147
'2677_at'	'GGCX'	17	-1	-6	14	8	12	0.1062566696
'57763_at'	'ANKRA2'	-4	-6	-1	-6	10	17	0.1062651747
'79631_at'	'EFTUD1'	-4	16	11	-4	11	-3	0.1063304882
'88_at'	'ACTN2'	-4	1	10	-1	4	0	0.1064715065
'22998_at'	'LIMCH1'	6	-6	-4	-4	15	-1	0.1065560125
'22914_at'	'KLRK1'	-6	6	14	7	6	8	0.106572089
'50616_at'	'IL22'	13	1	-3	14	14	9	0.106607561
'83658_at'	'DYNLRB1'	-4	0	9	17	-2	-2	0.106642117
'6335_at'	'SCN9A'	5	5	16	-5	-6	0	0.106685652
'10025_at'	'MED16'	10	10	10	8	10	-6	0.1067656141
'5697_at'	'PYY'	17	6	13	13	14	10	0.1067790967
'633_at'	'BGN'	9	11	15	4	8	11	0.1068035311
'10950_at'	'BTG3'	-2	-3	6	-3	4	0	0.1068050122
'3590_at'	'IL11RA'	10	12	-6	-1	16	5	0.1068076697
'29895_at'	'MYLPF'	-5	-4	17	15	16	6	0.1068094578
'4482_at'	'MSRA'	-5	14	0	14	-3	12	0.1068257092
'8625_at'	'RFXANK'	14	8	7	14	15	12	0.1068532345
'4628_at'	'MYH10'	9	9	10	8	15	12	0.1068899055
'57209_at'	'ZNF248'	9	14	11	13	12	11	0.1069019158
'1638_at'	'DCT'	-3	0	-2	-1	9	6	0.1069318259
'1573_at'	'CYP2J2'	-4	-4	9	-5	-3	-3	0.1069745408
'3855_at'	'KRT7'	5	1	-3	17	12	3	0.107005703
'1982_at'	'EIF4G2'	-3	-5	-3	-2	-1	-6	0.1070174963
'9584_at'	'RBM39'	11	13	-5	-2	14	14	0.1070695992
'1607_at'	'DGKB'	3	14	1	12	2	0	0.107109157
'4682_at'	'NUBP1'	-1	-2	16	-3	8	-1	0.1071258731
'445_at'	'ASS1'	-2	10	13	-2	11	-5	0.1072206476
'11282_at'	'MGAT4B'	15	3	3	13	0	-3	0.1072212386
'131408_at'	'FAM131A'	-6	16	9	9	-4	-4	0.107250054
'4782_at'	'NFIC'	10	8	15	-4	1	10	0.1072517763
'206358_at'	'SLC36A1'	-4	17	16	7	-4	16	0.1072634314
'4884_at'	'NPTX1'	4	6	8	10	-2	-5	0.1072768132
'60488_at'	'MRPS35'	3	16	4	14	3	16	0.1073118081
'11179_at'	'ZNF277'	-2	12	2	16	7	0	0.1073969387
'8332_at'	'HIST1H2AL'	-2	4	2	-2	1	7	0.1074175677
'419_at'	'ART3'	4	2	-6	9	8	-5	0.1074198349
'10437_at'	'IFI30'	-6	4	1	1	0	3	0.1074979496
'3172_at'	'HNF4A'	12	8	-2	-4	-1	11	0.107538693
'23415_at'	'KCNH4'	6	3	8	-2	-4	7	0.1075596557
'2657_at'	'GDF1'	9	7	4	5	11	14	0.1077293819
'5291_at'	'PIK3CB'	11	-5	13	10	5	7	0.1077823452
'644096_at'	'SDHAF1'	17	1	-1	14	-3	8	0.1079553653
'6532_at'	'SLC6A4'	-6	1	8	11	8	15	0.1080338784
'57336_at'	'ZNF287'	10	-6	9	16	13	9	0.1080390265
'3396_at'	'ICT1'	7	13	-4	-6	10	-4	0.1080538094
'10270_at'	'AKAP8'	2	0	-1	11	5	3	0.1080818639
'10810_at'	'WASF3'	14	13	-3	12	14	-5	0.1080838941
'23148_at'	'NACAD'	6	-4	3	-1	-2	-3	0.1082403905
'90333_at'	'ZNF468'	9	-4	12	3	10	5	0.1082717253
'79022_at'	'TMEM106C'	-6	4	2	-6	14	15	0.1082723159
'51362_at'	'CDC40'	8	17	1	-1	-2	2	0.1082886261
'1892_at'	'ECHS1'	4	6	1	-6	10	3	0.1083262417
'51050_at'	'PI15'	9	5	2	-4	8	8	0.1083525527
'10186_at'	'LHFP'	6	12	11	8	10	14	0.1083551907
'7476_at'	'WNT7A'	11	9	-3	16	-4	14	0.1084352682
'7128_at'	'TNFAIP3'	-1	2	2	-2	-2	4	0.1084387011
'7293_at'	'TNFRSF4'	9	0	-4	16	-3	10	0.1084412221
'3479_at'	'IGF1'	16	-1	3	16	12	13	0.1084550641
'80146_at'	'UXS1'	-4	-4	6	-3	1	-3	0.1085246038
'4609_at'	'MYC'	-4	12	16	-1	0	5	0.1086336996
'114_at'	'ADCY8'	10	10	10	-2	12	3	0.1086980214
'55554_at'	'KLK15'	0	15	3	-6	14	-4	0.1087000481
'644_at'	'BLVRA'	1	0	7	-4	-4	2	0.1087082846
'10152_at'	'ABI2'	-6	-2	-2	14	-5	1	0.1087539958
